short_name,long_name,age,nationality_name,player_positions,club_name,league_name,league_level,value_eur,wage_eur,release_clause_eur,overall,potential,international_reputation,pace,shooting,passing,dribbling,defending,physic,preferred_foot,weak_foot,skill_moves,attacking_finishing,attacking_short_passing,attacking_crossing,skill_dribbling,skill_ball_control,mentality_vision,mentality_composure,power_stamina,power_strength,movement_acceleration,movement_sprint_speed,movement_agility,defending_marking_awareness,defending_standing_tackle,mentality_positioning,work_rate,body_type
Gustavo Henrique,Gustavo Henrique Vernes,30,Brazil,CB,Real Valladolid,La Liga 2,2.0,1300000.0,6000.0,2100000.0,70,70,1,45.0,34.0,48.0,56.0,71.0,76.0,Right,2,2,33,60,32,55,59,43,67.0,66,82,43,47,49,71,69,36,Medium/Medium,Normal (185+)
Lucas João,Lucas Eduardo dos Santos João,29,Angola,ST,Shanghai Port,Super League,1.0,1600000.0,15000.0,2500000.0,70,70,1,68.0,72.0,61.0,70.0,26.0,65.0,Right,4,4,71,63,48,74,70,69,65.0,46,83,60,74,66,20,23,68,Medium/Low,Normal (185+)
E. Marcondes,Emiliano Marcondes Camargo Hansen,28,Denmark,"CAM, CM",AFC Bournemouth,Premier League,1.0,1600000.0,25000.0,3000000.0,70,70,1,72.0,68.0,68.0,71.0,42.0,65.0,Right,3,3,70,68,64,70,72,71,65.0,67,65,72,72,76,39,50,69,High/Medium,Normal (170-185)
A. Rømer,André Ibsen Rømer,29,Denmark,"CDM, CM",Midtjylland,Superliga,1.0,1400000.0,14000.0,1800000.0,70,70,1,64.0,56.0,64.0,66.0,67.0,78.0,Right,3,2,54,71,59,64,68,59,67.0,89,75,64,64,67,69,67,59,Medium/High,Normal (185+)
H. Kadish,Hassan Kadesh Mahboob,30,Saudi Arabia,"CB, LB",Al Ittihad,Pro League,1.0,1300000.0,18000.0,2100000.0,70,70,1,75.0,49.0,61.0,62.0,69.0,79.0,Left,3,2,43,65,62,60,64,57,53.0,87,81,74,76,71,65,71,60,High/Medium,Normal (170-185)
José Mari,José María Martín-Bejarano Serrano,35,Spain,"CDM, CM",Cádiz,La Liga,1.0,450000.0,10000.0,945000.0,70,70,1,55.0,59.0,66.0,63.0,67.0,66.0,Right,3,2,49,70,58,59,70,68,60.0,58,67,61,50,61,64,72,57,Medium/High,Lean (170-185)
E. Flores,Robert Mario Flores Bistolfi,29,Peru,"CAM, CF, LM",Universitario,Primera Division,1.0,1600000.0,750.0,3500000.0,70,70,1,75.0,66.0,67.0,74.0,36.0,57.0,Left,3,4,65,68,67,72,73,70,65.0,73,61,73,76,89,38,38,68,Medium/Medium,Normal (170-)
J. Lopez,Julien Yves Rémi López Baila,31,Algeria,"LM, CAM, ST",Paris,Ligue 2,2.0,1300000.0,5000.0,2300000.0,70,70,1,82.0,64.0,65.0,72.0,42.0,62.0,Right,2,3,65,66,66,71,68,65,68.0,75,64,87,78,90,35,51,66,High/Medium,Normal (170-185)
E. Saveljich,Esteban Ariel Saveljich,32,Montenegro,CB,Burgos,La Liga 2,2.0,1000000.0,5000.0,1600000.0,70,70,1,36.0,32.0,47.0,44.0,69.0,80.0,Right,3,2,28,66,30,37,54,28,62.0,66,89,33,39,30,71,69,29,High/Medium,Normal (185+)
M. Fofana,Moryké Fofana,31,Côte d'Ivoire,"LM, RM, CF",Samsunspor,Super Lig,1.0,1300000.0,9000.0,2600000.0,70,70,1,87.0,65.0,61.0,75.0,26.0,58.0,Right,3,4,62,62,61,77,71,65,59.0,71,61,82,91,91,40,14,64,High/Low,Lean (170-185)
J. Lowe,Jamal Lowe,28,Jamaica,"ST, LM, RM",Swansea City,Championship,2.0,1600000.0,27000.0,,70,70,1,85.0,68.0,60.0,73.0,40.0,70.0,Right,4,4,70,62,59,71,72,65,71.0,67,75,82,87,88,35,45,70,High/Medium,Normal (170-185)
T. Boyd,Tyler Dominic Boyd,28,United States,"LM, RM",LA Galaxy,Major League Soccer,1.0,1600000.0,5000.0,2400000.0,70,70,1,85.0,69.0,63.0,73.0,48.0,64.0,Right,4,3,67,66,63,73,70,66,66.0,68,62,85,85,83,48,48,66,High/High,Normal (170-185)
R. Leipertz,Robert Leipertz,30,Germany,"ST, RM, CAM",Paderborn,2. Bundesliga,2.0,1600000.0,13000.0,2600000.0,70,70,1,76.0,71.0,65.0,70.0,35.0,75.0,Left,4,3,73,70,62,70,71,66,63.0,86,73,84,69,72,45,27,69,Medium/Medium,Normal (170-185)
Reis,Isnairo Reis Silva Morais,30,Brazil,"LW, RW",Jeju United,K League 1,1.0,1500000.0,6000.0,1900000.0,70,70,1,81.0,66.0,63.0,74.0,33.0,52.0,Right,4,4,67,67,54,75,71,66,56.0,69,45,84,79,85,45,22,69,High/Medium,Lean (170-185)
A. Voglsammer,Andreas Voglsammer,31,Germany,"ST, LM",Hannover 96,2. Bundesliga,2.0,1300000.0,17000.0,2100000.0,70,70,1,76.0,69.0,66.0,69.0,43.0,78.0,Right,3,3,65,67,69,68,71,69,66.0,66,81,72,79,65,44,45,67,High/Medium,Normal (170-185)
R. Berić,Robert Berić,32,Slovenia,ST,Tianjin Jinmen Tiger,Super League,1.0,1300000.0,7000.0,2000000.0,70,70,2,56.0,71.0,63.0,66.0,37.0,77.0,Right,3,3,72,65,52,65,70,69,71.0,69,86,63,51,58,38,30,74,Medium/Medium,Normal (185+)
K. Karaman,Kenan Karaman,29,Turkey,"RW, LW, ST",Schalke 04,2. Bundesliga,2.0,1600000.0,9000.0,2600000.0,70,70,1,77.0,67.0,64.0,70.0,27.0,69.0,Right,3,3,69,69,67,72,70,63,57.0,68,72,70,82,67,24,24,71,High/Medium,Normal (185+)
C. O'Dowda,Callum O'Dowda,28,Republic of Ireland,"LM, LW, LB",Cardiff City,Championship,2.0,1600000.0,11000.0,3000000.0,70,70,1,82.0,60.0,65.0,70.0,51.0,65.0,Left,3,3,61,66,68,70,70,63,56.0,72,67,82,82,80,55,49,61,High/Medium,Lean (170-185)
G. Zardes,Gyasi Zardes,31,United States,ST,Austin,Major League Soccer,1.0,1300000.0,6000.0,1900000.0,70,70,3,82.0,69.0,53.0,67.0,44.0,75.0,Right,5,3,69,60,41,66,67,59,64.0,78,77,78,86,76,39,50,74,High/Medium,Normal (185+)
C. Malele,Cephas Malele,29,Switzerland,ST,Shanghai Shenhua,Super League,1.0,1600000.0,11000.0,2500000.0,70,70,1,84.0,69.0,47.0,66.0,33.0,82.0,Right,4,2,72,55,37,64,66,47,68.0,80,87,83,84,75,42,21,67,Medium/Medium,Normal (185+)
D. Yedlin,DeAndre Roselle Yedlin,29,United States,"RB, RWB",Inter Miami,Major League Soccer,1.0,1400000.0,5000.0,2100000.0,70,70,1,85.0,50.0,58.0,65.0,65.0,72.0,Right,2,2,39,63,61,62,60,57,63.0,84,66,85,85,88,64,68,62,High/Medium,Normal (170-185)
W. Cyprien,Wylan Cyprien,28,France,"CM, CDM",Parma,Serie B,2.0,1600000.0,3000.0,2600000.0,70,70,2,64.0,69.0,71.0,72.0,68.0,73.0,Right,3,3,65,72,70,71,73,70,76.0,68,75,64,64,70,71,67,69,Medium/Medium,Normal (170-185)
L. Öztunalı,Levin Mete Öztunali,27,Germany,"CAM, RW, LW",Hamburger SV,2. Bundesliga,2.0,1700000.0,16000.0,2700000.0,70,70,1,74.0,67.0,68.0,73.0,48.0,67.0,Right,3,3,64,68,67,74,73,68,69.0,64,72,79,69,74,43,48,71,Medium/Low,Normal (170-185)
I. Tajouri-Shradi,Ismael Tajouri-Shradi,29,Libya,"RM, RW, LW",Minnesota United,Major League Soccer,1.0,1600000.0,5000.0,2400000.0,70,70,1,82.0,70.0,63.0,72.0,33.0,56.0,Left,4,3,70,66,65,71,71,59,64.0,66,60,86,78,84,34,32,69,High/Low,Normal (170-)
Bressan,Matheus Simonete Bressanelli,30,Brazil,"CB, RB",Nantong Zhiyun,Super League,1.0,1300000.0,7000.0,2000000.0,70,70,1,65.0,38.0,52.0,52.0,69.0,75.0,Right,2,2,37,68,33,38,64,38,62.0,72,77,62,68,67,65,69,32,Low/High,Normal (185+)
F. Tobio,Omar Fernando Tobio,33,Argentina,CB,Huracán,Liga Profesional,1.0,750000.0,7000.0,1100000.0,70,70,1,49.0,30.0,53.0,46.0,69.0,79.0,Right,2,2,27,65,59,42,50,27,63.0,69,83,48,50,34,70,67,40,Low/Medium,Normal (185+)
S. Gustafson,Simon Gustafson,28,Sweden,"CM, CAM",Häcken,Allsvenskan,1.0,1600000.0,5000.0,2100000.0,70,70,1,60.0,71.0,71.0,69.0,54.0,72.0,Left,3,3,65,72,66,70,71,75,72.0,80,72,55,64,65,59,57,70,Medium/Medium,Normal (185+)
Camacho,João Pedro Gomes Camacho,29,Portugal,"LW, RW, LM",Moreirense,Liga Portugal,1.0,1600000.0,9000.0,3300000.0,70,70,1,78.0,67.0,65.0,75.0,33.0,59.0,Right,3,4,64,65,67,74,73,64,76.0,74,51,79,78,82,33,35,66,High/Medium,Normal (170-185)
K. Sema,Ken Nlata Sema,29,Sweden,"LM, LW",Watford,Championship,2.0,1600000.0,20000.0,3000000.0,70,70,1,78.0,65.0,68.0,71.0,60.0,68.0,Left,3,3,62,70,71,72,70,69,62.0,67,70,76,79,72,60,66,66,Medium/Medium,Stocky (170-185)
R. Schüller,Rasmus Schüller,32,Finland,"CDM, CM",Djurgården,Allsvenskan,1.0,1100000.0,5000.0,1400000.0,70,70,1,46.0,55.0,64.0,64.0,70.0,70.0,Left,3,3,52,68,56,63,62,63,69.0,80,62,51,42,68,75,67,46,Medium/High,Lean (170-185)
S. Gallagher,Sam Gallagher,27,England,"ST, RM",Blackburn Rovers,Championship,2.0,1700000.0,25000.0,3200000.0,70,70,1,69.0,69.0,58.0,66.0,45.0,76.0,Right,3,3,70,59,64,68,66,57,59.0,73,79,62,74,63,40,41,68,High/High,Normal (185+)
D. Biraschi,Davide Biraschi,28,Italy,"RB, CB",Fatih Karagümrük,Super Lig,1.0,1400000.0,13000.0,2800000.0,70,70,1,61.0,36.0,60.0,68.0,72.0,69.0,Right,2,2,31,67,57,67,69,55,77.0,64,72,68,55,67,73,74,47,Low/Medium,Normal (170-185)
D. Rodríguez,Diego Martín Rodríguez Berrini,33,Uruguay,"CDM, CM",Nacional,Primera Division,1.0,800000.0,550.0,1800000.0,70,70,1,64.0,56.0,66.0,67.0,67.0,70.0,Right,3,2,45,72,65,62,71,61,68.0,78,64,69,60,74,66,69,46,Medium/High,Normal (170-)
F. Forte,Francesco Forte,30,Italy,ST,Cosenza,Serie B,2.0,1600000.0,4000.0,,70,70,1,53.0,72.0,62.0,67.0,32.0,72.0,Left,3,2,75,70,58,66,70,59,73.0,67,75,53,53,62,31,23,76,Medium/Medium,Lean (185+)
J. Arias,Jorge Enrique Arias De la Hoz,30,Colombia,"CB, LB",Millonarios,Liga BetPlay,1.0,1300000.0,3000.0,1800000.0,70,70,1,76.0,48.0,60.0,60.0,68.0,81.0,Left,3,2,40,63,59,54,63,50,63.0,84,84,70,80,71,63,70,46,Medium/High,Normal (185+)
J. Zuluaga,Juan Pablo Zuluaga Estrada,30,Colombia,"CM, RM, LM",Deportivo Pereira,Liga BetPlay,1.0,1500000.0,1000.0,2100000.0,70,70,1,78.0,58.0,65.0,69.0,65.0,68.0,Right,3,3,62,67,66,66,72,71,58.0,90,59,74,81,71,59,68,66,High/Medium,Lean (170-185)
V. Hernández,Vladimir Javier Hernández Rivero,34,Colombia,"LM, CAM, RM",Junior,Liga BetPlay,1.0,750000.0,3000.0,1100000.0,70,70,1,79.0,67.0,67.0,72.0,34.0,41.0,Right,3,4,68,70,65,71,68,68,68.0,70,29,79,79,88,59,20,68,Medium/Medium,Normal (170-)
R. Carrascal,Rafael Andrés Carrascal Avilez,30,Colombia,"CM, CDM",Cerro Porteño,Primera División,1.0,1500000.0,650.0,3200000.0,70,70,1,66.0,63.0,70.0,65.0,65.0,73.0,Right,3,2,59,71,67,59,69,75,66.0,80,72,65,66,70,59,70,58,Medium/Medium,Normal (170-185)
R. Ureña,Rodrigo Andrés Ureña Reyes,30,Chile,"CDM, CM",Universitario,Primera Division,1.0,1300000.0,700.0,2900000.0,70,70,1,58.0,60.0,62.0,65.0,67.0,74.0,Right,3,2,63,73,49,57,71,60,68.0,73,73,63,54,73,68,67,50,Medium/High,Normal (170-185)
A. Ricaurte,Andrés Ricaurte Vélez,31,Colombia,"CAM, CDM, CM",Independiente Medellín,Liga BetPlay,1.0,1300000.0,2000.0,1800000.0,70,70,1,55.0,58.0,74.0,69.0,56.0,65.0,Left,4,4,57,80,69,70,74,74,66.0,62,68,55,55,60,58,56,72,Medium/Medium,Lean (170-185)
S. Pérez,Sebastián Pérez Cardona,30,Colombia,"CM, CDM",Boavista,Liga Portugal,1.0,1500000.0,9000.0,3200000.0,70,70,1,68.0,59.0,62.0,67.0,65.0,69.0,Right,3,3,54,72,44,65,73,66,58.0,77,61,66,69,64,61,71,67,High/High,Lean (170-185)
J. Duque,Jefferson Andrés Duque Montoya,36,Colombia,ST,Atlético Nacional,Liga BetPlay,1.0,550000.0,3000.0,770000.0,70,70,1,60.0,73.0,57.0,67.0,27.0,67.0,Right,2,3,75,65,46,66,69,56,72.0,63,77,58,61,61,15,19,70,Medium/Low,Normal (170-185)
N. Pasquini,Nicolás Pasquini,32,Argentina,"LB, LM, CM",Sporting Cristal,Primera Division,1.0,1100000.0,700.0,2400000.0,70,70,1,75.0,59.0,72.0,63.0,65.0,71.0,Left,2,3,47,71,74,60,65,72,52.0,85,69,74,76,74,68,65,58,Medium/Medium,Normal (170-185)
L. Benegas,Leandro Iván Benegas,34,Chile,"ST, LW",Colo-Colo,Primera Division,1.0,775000.0,8000.0,1100000.0,70,70,1,67.0,68.0,63.0,68.0,40.0,81.0,Left,4,3,69,61,64,69,65,68,73.0,83,83,69,66,70,38,39,74,High/High,Stocky (170-185)
A. Hughes,Andrew Hughes,31,Wales,"CB, LWB, LB",Preston North End,Championship,2.0,1100000.0,17000.0,2100000.0,70,70,1,62.0,42.0,62.0,61.0,70.0,76.0,Left,2,2,35,65,64,58,62,50,62.0,76,77,61,63,67,69,70,48,High/High,Normal (185+)
M. Kranevitter,Claudio Matías Kranevitter,30,Argentina,"CDM, CM",River Plate,Liga Profesional,1.0,1300000.0,10000.0,1800000.0,70,70,1,67.0,48.0,64.0,65.0,67.0,74.0,Right,3,3,39,69,57,64,64,69,66.0,75,72,67,67,66,69,69,53,Low/High,Normal (170-185)
D. Braghieri,Diego Luis Braghieri,36,Argentina,CB,Lanús,Liga Profesional,1.0,275000.0,6000.0,413000.0,70,70,1,57.0,48.0,49.0,54.0,69.0,78.0,Left,2,2,35,63,28,50,60,46,70.0,62,82,61,54,44,70,67,38,Low/Medium,Normal (185+)
H. Orzán,Horacio De Dios Orzán,35,Argentina,"CDM, CM, CB",Melgar,Primera Division,1.0,450000.0,500.0,968000.0,70,70,1,83.0,56.0,70.0,70.0,64.0,73.0,Right,3,3,47,73,63,68,70,75,68.0,78,72,82,84,75,60,68,61,Medium/Medium,Lean (170-185)
E. Insua,Emanuel Mariano Insúa Zapata,32,Argentina,LB,Banfield,Liga Profesional,1.0,1100000.0,8000.0,1700000.0,70,70,1,75.0,54.0,58.0,64.0,67.0,74.0,Left,2,3,49,59,64,63,66,58,60.0,75,71,73,77,59,66,71,56,Medium/Medium,Normal (170-185)
M. Bíttolo,Mariano Ezequiel Bíttolo,33,Argentina,LM,Argentinos Juniors,Liga Profesional,1.0,1000000.0,8000.0,1500000.0,70,70,1,75.0,48.0,68.0,69.0,67.0,64.0,Left,2,3,48,68,73,68,69,69,69.0,70,58,78,72,74,65,65,67,High/Medium,Lean (170-)
F. Angileri,Fabrizio Germán Angileri,29,Argentina,"LB, LWB",Getafe,La Liga,1.0,1400000.0,14000.0,2900000.0,70,70,1,77.0,71.0,69.0,69.0,65.0,80.0,Left,3,3,64,65,70,67,69,74,72.0,79,84,76,77,74,65,67,71,Medium/Medium,Normal (185+)
A. Hunou,Adrien Hunou,29,France,"ST, CM",Angers SCO,Ligue 2,2.0,1600000.0,6000.0,2900000.0,70,70,1,71.0,69.0,69.0,72.0,52.0,69.0,Right,3,3,67,72,68,71,72,70,73.0,67,69,73,70,75,45,52,73,Medium/Medium,Lean (170-185)
L. Jara,Leonardo Rafael Jara,32,Argentina,RB,Vélez Sarsfield,Liga Profesional,1.0,1100000.0,8000.0,1700000.0,70,70,1,61.0,54.0,65.0,65.0,67.0,80.0,Right,3,3,41,68,70,65,71,64,57.0,81,80,57,65,55,67,71,56,Medium/Medium,Normal (170-185)
C. Auzqui,Carlos Daniel Auzqui,32,Argentina,"CAM, RW, RM",San Lorenzo,Liga Profesional,1.0,1300000.0,9000.0,2000000.0,70,70,1,77.0,68.0,70.0,70.0,52.0,77.0,Right,3,3,66,71,72,70,66,71,67.0,83,72,76,77,80,47,49,70,High/Medium,Normal (170-185)
G. Carrillo,Guido Marcelo Carrillo,32,Argentina,ST,Estudiantes,Liga Profesional,1.0,1300000.0,10000.0,2000000.0,70,70,1,42.0,72.0,54.0,68.0,38.0,76.0,Right,3,3,70,65,34,68,73,59,70.0,72,79,32,51,58,42,29,77,Medium/Low,Normal (185+)
M. Meli,César Marcelo Meli,31,Argentina,"CM, RM",Liverpool,Primera Division,1.0,1300000.0,550.0,2800000.0,70,70,1,75.0,61.0,66.0,68.0,66.0,74.0,Right,3,3,58,74,59,64,72,70,65.0,84,68,67,81,73,62,70,66,High/High,Normal (170-185)
Maikel Mesa,Maikel Mesa Piñero,32,Spain,"CM, CAM",Real Zaragoza,La Liga 2,2.0,1300000.0,6000.0,2100000.0,70,70,1,70.0,71.0,68.0,71.0,65.0,78.0,Right,3,3,71,73,62,72,70,71,68.0,77,82,68,71,75,61,68,72,High/Medium,Normal (185+)
Filipe Ferreira,Filipe Miguel Neves Ferreira,32,Portugal,"LB, LWB, CB",Boavista,Liga Portugal,1.0,1100000.0,8000.0,2300000.0,70,70,1,69.0,53.0,65.0,68.0,65.0,66.0,Left,3,3,48,66,72,66,70,59,70.0,70,65,68,69,66,67,67,58,Medium/Medium,Normal (170-185)
A. Hatem,Abdulaziz Hatem Mohammed Abdullah,32,Qatar,"CM, CDM",,,,,,,70,70,1,59.0,67.0,70.0,68.0,61.0,70.0,Left,5,3,64,72,70,66,71,68,71.0,77,71,57,61,68,58,64,66,High/Medium,Normal (170-185)
F. Monetti,Fernando Monetti,34,Argentina,GK,Sarmiento,Liga Profesional,1.0,275000.0,6000.0,399000.0,70,70,1,,,,,,,Right,3,1,19,48,19,19,36,60,31.0,32,64,56,57,48,29,14,15,Medium/Medium,Normal (170-185)
D. Musto,Damián Marcelo Musto,36,Argentina,"CDM, CM",FC Cartagena,La Liga 2,2.0,325000.0,4000.0,520000.0,70,70,1,40.0,49.0,60.0,58.0,71.0,76.0,Right,3,2,34,62,54,57,61,59,68.0,68,78,33,45,43,69,75,59,Low/Medium,Stocky (170-185)
B. Vriends,Bart Vriends,32,Netherlands,CB,Sparta Rotterdam,Eredivisie,1.0,1000000.0,6000.0,1500000.0,70,70,1,56.0,32.0,48.0,47.0,70.0,79.0,Right,3,2,29,64,27,41,56,44,64.0,78,84,47,63,35,70,70,36,Low/High,Normal (185+)
A. Browne,Alan James Browne,28,Republic of Ireland,"CM, CAM, RWB",Preston North End,Championship,2.0,1600000.0,20000.0,3000000.0,70,70,1,73.0,68.0,68.0,71.0,66.0,78.0,Right,4,3,66,71,67,69,70,68,70.0,89,73,73,73,76,62,69,67,High/High,Normal (170-185)
A. Baroja,Alain Baroja Méndez,33,Venezuela,GK,Caracas,Primera Division,1.0,525000.0,500.0,1100000.0,70,70,1,,,,,,,Right,3,1,13,26,13,19,21,65,33.0,44,66,42,42,32,18,15,19,Medium/Medium,Normal (185+)
E. Triverio,Enrique Luis Triverio,34,Argentina,ST,The Strongest,Liga De Futbol Prof,1.0,775000.0,850.0,1700000.0,70,70,1,40.0,73.0,55.0,67.0,30.0,74.0,Right,4,3,75,62,42,67,71,62,68.0,56,83,45,36,64,25,21,74,Medium/Low,Normal (170-185)
R. Hedges,Ryan Peter Hedges,27,Wales,"RM, CAM",Blackburn Rovers,Championship,2.0,1700000.0,23000.0,3200000.0,70,70,1,82.0,64.0,64.0,72.0,39.0,58.0,Left,3,3,64,68,67,73,71,70,69.0,75,58,80,84,77,38,41,63,Medium/Medium,Normal (185+)
S. Adamyan,Sargis Adamyan,30,Armenia,"ST, LM, CAM",FC Köln,Bundesliga,1.0,1600000.0,16000.0,2900000.0,70,70,1,79.0,70.0,63.0,72.0,34.0,69.0,Right,3,4,71,70,58,72,71,65,62.0,75,68,81,77,78,45,25,67,Medium/Medium,Normal (170-185)
Rafa Soares,Luís Rafael Soares Alves,28,Portugal,LB,PAOK,Super League,1.0,1400000.0,750.0,3100000.0,70,70,1,74.0,60.0,67.0,70.0,66.0,66.0,Left,3,3,51,68,71,71,70,63,65.0,74,61,75,74,72,65,67,63,High/Medium,Normal (170-185)
J. Windass,Joshua Dean Windass,29,England,"ST, CAM, LM",Sheffield Wednesday,Championship,2.0,1600000.0,13000.0,3000000.0,70,70,1,85.0,69.0,66.0,73.0,35.0,64.0,Right,3,3,68,66,65,71,72,67,70.0,63,64,83,86,84,30,32,70,High/Medium,Normal (170-185)
N. Ferreyra,Nicolás Agustín Ferreyra,30,Argentina,CB,Bolívar,Liga De Futbol Prof,1.0,1300000.0,700.0,2800000.0,70,70,1,38.0,43.0,42.0,58.0,69.0,83.0,Right,2,2,45,55,33,49,67,30,68.0,72,94,40,37,63,69,67,45,Low/Medium,Normal (185+)
C. Bordacahar,Cristian Ariel Bordacahar,31,Argentina,"RW, ST, RM",Melgar,Primera Division,1.0,1300000.0,600.0,2800000.0,70,70,1,83.0,64.0,61.0,72.0,27.0,62.0,Right,3,4,66,65,68,76,67,60,59.0,71,69,82,84,76,23,27,62,High/Medium,Normal (170-185)
R. Di Gennaro,Raffaele Di Gennaro,29,Italy,GK,Inter,Serie A,1.0,1100000.0,26000.0,1900000.0,70,70,1,,,,,,,Right,2,1,15,25,12,19,26,43,67.0,40,51,41,45,35,6,18,13,Medium/Medium,Lean (185+)
Alex Soares,Alexandre Miguel Barros Soares,32,Portugal,"CM, CDM",Estoril,Liga Portugal,1.0,1300000.0,5000.0,2700000.0,70,70,1,64.0,61.0,66.0,71.0,58.0,67.0,Right,3,3,54,72,56,72,73,70,57.0,79,60,68,61,64,60,57,65,Medium/Medium,Normal (170-185)
U. Matić,Uroš Matić,33,Serbia,"CDM, CM, CAM",Abha,Pro League,1.0,800000.0,7000.0,1300000.0,70,70,1,67.0,65.0,67.0,70.0,63.0,78.0,Left,3,3,63,72,60,69,72,69,70.0,83,80,68,66,72,64,64,73,High/High,Lean (170-185)
Chema,José Manuel Rodríguez Benito,31,Spain,"CB, LB",Alcorcón,La Liga 2,2.0,1100000.0,6000.0,,70,70,1,56.0,59.0,58.0,60.0,70.0,73.0,Left,3,2,55,67,48,54,67,54,65.0,66,74,57,55,65,70,70,34,Medium/High,Normal (185+)
J. Cummings,Jason Steven Cummings,27,Australia,ST,ATK Mohun Bagan,Super League,1.0,1700000.0,3000.0,2300000.0,70,70,1,71.0,71.0,57.0,67.0,38.0,65.0,Left,3,3,73,63,44,65,67,66,69.0,73,66,69,72,70,21,40,73,Medium/Medium,Stocky (170-185)
A. Balboa,Adrián Martín Balboa Camacho,29,Uruguay,"ST, LW, RW",Deportivo Pereira,Liga BetPlay,1.0,1600000.0,1000.0,2200000.0,70,70,1,52.0,71.0,51.0,65.0,28.0,75.0,Right,3,3,76,62,35,67,66,57,60.0,63,89,51,52,66,27,17,71,Medium/Low,Normal (185+)
A. Ceesay,Assan Torrez Ceesay,29,Gambia,ST,Damac,Pro League,1.0,1600000.0,14000.0,2600000.0,70,70,1,84.0,70.0,58.0,66.0,33.0,68.0,Left,3,2,72,64,55,66,62,58,68.0,66,68,87,82,75,37,30,72,Medium/High,Lean (185+)
Iván Márquez,Iván Márquez Álvarez,29,Spain,CB,Nürnberg,2. Bundesliga,2.0,1300000.0,8000.0,2100000.0,70,70,1,42.0,43.0,50.0,51.0,70.0,80.0,Right,3,2,45,62,37,39,59,47,66.0,80,81,46,38,58,73,69,43,Low/Medium,Normal (185+)
M. Caldara,Mattia Caldara,29,Italy,CB,Milan,Serie A,1.0,1300000.0,27000.0,2200000.0,70,70,2,49.0,34.0,46.0,62.0,70.0,71.0,Right,3,2,36,63,34,62,61,32,66.0,61,75,49,49,58,67,73,34,Low/Medium,Normal (185+)
F. Hadergjonaj,Florent Hadërgjonaj,28,Kosovo,"RB, LB",Alanyaspor,Super Lig,1.0,1400000.0,8000.0,2700000.0,70,70,1,81.0,50.0,64.0,68.0,64.0,69.0,Right,3,2,48,66,68,67,68,62,60.0,83,64,81,81,76,63,65,57,High/Medium,Lean (170-185)
L. Kalinić,Lovre Kalinić,33,Croatia,GK,Hajduk Split,1. HNL,1.0,525000.0,500.0,1200000.0,70,70,1,,,,,,,Left,2,1,12,18,15,11,15,42,58.0,31,80,38,39,26,13,17,7,Medium/Medium,Normal (185+)
M. Barrios,Michael David Barrios Puerta,32,Colombia,"RM, ST",LA Galaxy,Major League Soccer,1.0,1300000.0,5000.0,2000000.0,70,70,1,83.0,66.0,65.0,73.0,40.0,53.0,Right,2,3,65,63,66,73,69,69,72.0,71,44,85,82,85,54,31,69,Medium/Low,Stocky (170-)
J. Lolley,Joe Lolley,30,England,"RW, RM, LM",Sydney,A-League,1.0,1500000.0,7000.0,1900000.0,70,70,1,73.0,69.0,67.0,72.0,49.0,56.0,Left,3,3,68,68,69,72,71,66,67.0,64,52,76,71,82,51,54,63,High/Medium,Lean (170-185)
Kim Do Hyeok,김도혁 金道亨,31,Korea Republic,"CM, LW, LWB",Incheon United,K League 1,1.0,1300000.0,5000.0,1600000.0,70,70,1,61.0,61.0,69.0,70.0,59.0,76.0,Left,3,3,56,70,68,67,72,74,69.0,89,73,59,63,73,53,61,68,High/High,Normal (170-185)
D. Lovitz,Daniel Lovitz,31,United States,"LWB, LB",Nashville SC,Major League Soccer,1.0,1200000.0,5000.0,1800000.0,70,70,1,71.0,53.0,66.0,62.0,66.0,73.0,Left,3,3,49,66,73,61,61,59,58.0,81,67,71,71,70,63,72,57,Medium/High,Normal (170-185)
J. Pereira,Juan Carlos Pereira Díaz,30,Colombia,"CM, CDM",Millonarios,Liga BetPlay,1.0,1500000.0,3000.0,2100000.0,70,70,1,77.0,65.0,67.0,72.0,63.0,72.0,Right,3,3,67,71,57,73,75,78,60.0,81,72,80,74,71,58,70,67,High/Medium,Normal (170-185)
Liu Binbin,刘彬彬,30,China PR,"LM, RM",Shandong Taishan,Super League,1.0,1500000.0,12000.0,2300000.0,70,70,1,84.0,65.0,64.0,69.0,44.0,65.0,Right,3,3,69,66,66,70,65,63,66.0,75,63,84,84,83,46,42,66,Medium/Medium,Lean (170-185)
Juanma García,Juan Manuel García García,30,Spain,"RM, ST, LM",Albacete,La Liga 2,2.0,1500000.0,6000.0,2400000.0,70,70,1,84.0,70.0,64.0,70.0,28.0,53.0,Right,3,3,70,64,64,68,69,65,58.0,76,46,85,83,80,23,22,68,Medium/Medium,Normal (170-)
Cao Yunding,曹赟定,33,China PR,"LM, LW",Shanghai Shenhua,Super League,1.0,1000000.0,9000.0,1600000.0,70,70,1,81.0,64.0,66.0,72.0,36.0,66.0,Right,4,3,60,66,69,73,68,66,65.0,78,61,80,81,81,30,38,67,High/Low,Lean (170-185)
Paulo Azzi,Paulo Daniel Azzi Dentello,28,Brazil,"LB, LM, LWB",Cagliari,Serie A,1.0,1400000.0,13000.0,2500000.0,70,70,1,82.0,65.0,65.0,73.0,62.0,72.0,Right,3,3,63,66,70,75,72,64,67.0,76,71,80,84,75,59,64,67,High/Medium,Normal (185+)
