short_name,club_name,nationality_name,position_group,age,overall,potential,international_reputation,pace,shooting,passing,dribbling,defending,physic,weak_foot,skill_moves,value_eur,display_label
Melvin Parrela,Bragantino,Brazil,Midfielder,23,79,79,1,71.0,70.0,70.0,72.0,80.0,84.0,3,2,18000000.0,Melvin Parrela (Bragantino)
Gabri Prestão,Internacional,Brazil,Goalkeeper,31,79,79,1,0.0,0.0,0.0,0.0,0.0,0.0,3,1,9500000.0,Gabri Prestão (Internacional)
Luimo Boas Santos,Santos,Brazil,Forward,23,79,79,1,83.0,79.0,65.0,81.0,28.0,64.0,4,4,20500000.0,Luimo Boas Santos (Santos)
M. Lazzari,Lazio,Italy,Defender,29,79,79,2,92.0,62.0,76.0,82.0,70.0,66.0,3,3,15500000.0,M. Lazzari (Lazio)
E. Pinnock,Brentford,Jamaica,Defender,30,79,79,1,70.0,37.0,57.0,62.0,80.0,82.0,3,2,14500000.0,E. Pinnock (Brentford)
T. Teuma,Stade de Reims,Malta,Midfielder,29,79,79,1,68.0,77.0,79.0,76.0,73.0,76.0,5,3,17000000.0,T. Teuma (Stade de Reims)
Ansu Fati,Brighton & Hove Albion,Spain,Forward,20,78,88,3,89.0,76.0,72.0,81.0,30.0,53.0,4,4,31000000.0,Ansu Fati (Brighton & Hove Albion)
E. Wahi,Lens,France,Forward,20,78,88,2,90.0,78.0,67.0,78.0,31.0,67.0,4,4,31000000.0,E. Wahi (Lens)
M. Kean,Juventus,Italy,Forward,23,78,85,2,86.0,76.0,58.0,76.0,40.0,76.0,3,3,28500000.0,M. Kean (Juventus)
M. Guéhi,Crystal Palace,England,Defender,22,78,85,2,72.0,39.0,59.0,69.0,79.0,75.0,4,2,26500000.0,M. Guéhi (Crystal Palace)
B. Badiashile,Chelsea,France,Defender,22,78,85,2,61.0,47.0,67.0,60.0,79.0,76.0,3,2,26500000.0,B. Badiashile (Chelsea)
Lee Kang In,Paris Saint Germain,Korea Republic,Forward,22,78,85,2,74.0,74.0,79.0,80.0,30.0,61.0,3,4,28500000.0,Lee Kang In (Paris Saint Germain)
G. Reyna,Borussia Dortmund,United States,Midfielder,20,78,85,2,77.0,73.0,74.0,82.0,37.0,70.0,2,4,28000000.0,G. Reyna (Borussia Dortmund)
Fran García,Real Madrid,Spain,Defender,23,78,85,2,89.0,49.0,69.0,77.0,71.0,68.0,3,3,27000000.0,Fran García (Real Madrid)
André Almeida,Valencia,Portugal,Midfielder,23,78,85,1,73.0,66.0,76.0,80.0,68.0,67.0,3,3,28000000.0,André Almeida (Valencia)
P. Kalulu,Milan,France,Defender,23,78,85,1,80.0,50.0,68.0,69.0,79.0,75.0,3,2,26000000.0,P. Kalulu (Milan)
N. Jackson,Chelsea,Senegal,Forward,22,78,85,1,76.0,79.0,63.0,78.0,42.0,69.0,3,3,29000000.0,N. Jackson (Chelsea)
M. van de Ven,Tottenham Hotspur,Netherlands,Defender,22,78,85,1,85.0,43.0,59.0,68.0,79.0,80.0,3,3,26500000.0,M. van de Ven (Tottenham Hotspur)
E. Smith Rowe,Arsenal,England,Forward,22,78,84,1,76.0,71.0,75.0,81.0,32.0,62.0,4,4,22500000.0,E. Smith Rowe (Arsenal)
M. Camara,Monaco,Mali,Midfielder,23,78,84,2,80.0,58.0,69.0,78.0,73.0,77.0,3,3,20500000.0,M. Camara (Monaco)
M. Olise,Crystal Palace,France,Forward,21,78,84,1,80.0,70.0,77.0,83.0,50.0,56.0,2,4,22500000.0,M. Olise (Crystal Palace)
L. Chevalier,Lille,France,Goalkeeper,21,78,84,1,0.0,0.0,0.0,0.0,0.0,0.0,3,1,18500000.0,L. Chevalier (Lille)
P. Wimmer,VfL Wolfsburg,Austria,Forward,22,78,84,2,83.0,69.0,71.0,81.0,49.0,72.0,4,4,22500000.0,P. Wimmer (VfL Wolfsburg)
G. Scamacca,Atalanta,Italy,Forward,24,78,83,2,68.0,78.0,66.0,74.0,36.0,74.0,3,4,21500000.0,G. Scamacca (Atalanta)
Pepelu,Valencia,Spain,Midfielder,24,78,83,1,64.0,62.0,77.0,70.0,72.0,77.0,3,3,19500000.0,Pepelu (Valencia)
L. Blas,Rennes,France,Midfielder,25,78,83,2,72.0,76.0,76.0,83.0,58.0,65.0,2,4,20500000.0,L. Blas (Rennes)
A. Lafont,Nantes,France,Goalkeeper,24,78,83,2,0.0,0.0,0.0,0.0,0.0,0.0,3,1,17000000.0,A. Lafont (Nantes)
T. Tomiyasu,Arsenal,Japan,Defender,24,78,83,1,71.0,33.0,67.0,71.0,80.0,79.0,5,2,20000000.0,T. Tomiyasu (Arsenal)
E. Ndicka,Roma,France,Defender,23,78,83,2,77.0,53.0,72.0,71.0,77.0,79.0,3,2,19000000.0,E. Ndicka (Roma)
J. Willock,Newcastle United,England,Midfielder,23,78,83,1,81.0,72.0,74.0,81.0,72.0,72.0,3,3,21000000.0,J. Willock (Newcastle United)
T. Malacia,Manchester United,Netherlands,Defender,23,78,83,1,83.0,56.0,69.0,78.0,74.0,77.0,3,3,20000000.0,T. Malacia (Manchester United)
C. Gallagher,Chelsea,England,Midfielder,23,78,83,2,73.0,75.0,74.0,76.0,68.0,75.0,2,3,21000000.0,C. Gallagher (Chelsea)
Matheus Cunha,Wolverhampton Wanderers,Brazil,Forward,24,78,83,2,80.0,78.0,75.0,82.0,40.0,73.0,4,4,21500000.0,Matheus Cunha (Wolverhampton Wanderers)
C. Doucouré,Crystal Palace,Mali,Midfielder,23,78,83,1,66.0,57.0,69.0,75.0,75.0,77.0,3,3,19500000.0,C. Doucouré (Crystal Palace)
M. Caqueret,Olympique Lyonnais,France,Midfielder,23,78,83,2,75.0,58.0,75.0,80.0,74.0,69.0,3,3,21000000.0,M. Caqueret (Olympique Lyonnais)
J. Ramsey,Aston Villa,England,Midfielder,22,78,83,1,76.0,75.0,73.0,80.0,68.0,76.0,4,3,21500000.0,J. Ramsey (Aston Villa)
Moncayola,Osasuna,Spain,Midfielder,25,78,83,1,64.0,66.0,75.0,78.0,73.0,70.0,4,3,20500000.0,Moncayola (Osasuna)
L. Sinisterra,AFC Bournemouth,Colombia,Midfielder,24,78,82,1,89.0,72.0,70.0,84.0,53.0,61.0,4,4,20000000.0,L. Sinisterra (AFC Bournemouth)
Santi Comesaña,Villarreal,Spain,Midfielder,26,78,82,1,55.0,68.0,69.0,74.0,77.0,74.0,4,3,17500000.0,Santi Comesaña (Villarreal)
D. Raum,RB Leipzig,Germany,Defender,25,78,82,2,88.0,59.0,77.0,77.0,71.0,78.0,2,3,18000000.0,D. Raum (RB Leipzig)
M. Berisha,TSG Hoffenheim,Germany,Forward,25,78,82,2,73.0,79.0,72.0,75.0,37.0,74.0,3,3,20000000.0,M. Berisha (TSG Hoffenheim)
A. Haidara,RB Leipzig,Mali,Midfielder,25,78,82,2,64.0,72.0,76.0,80.0,70.0,70.0,2,3,19500000.0,A. Haidara (RB Leipzig)
T. Reijnders,Milan,Netherlands,Midfielder,24,78,82,1,77.0,74.0,75.0,80.0,71.0,73.0,4,3,20000000.0,T. Reijnders (Milan)
K. Mavropanos,West Ham United,Greece,Defender,25,78,82,2,79.0,56.0,54.0,59.0,78.0,82.0,4,2,17500000.0,K. Mavropanos (West Ham United)
A. Saelemaekers,Bologna,Belgium,Midfielder,24,78,82,1,80.0,67.0,75.0,81.0,64.0,66.0,4,4,20000000.0,A. Saelemaekers (Bologna)
S. Abdul Samed,Lens,Ghana,Midfielder,23,78,82,1,62.0,47.0,66.0,71.0,76.0,80.0,2,2,18500000.0,S. Abdul Samed (Lens)
M. Trésor,Burnley,Belgium,Midfielder,24,78,82,1,79.0,71.0,79.0,80.0,38.0,58.0,3,5,20000000.0,M. Trésor (Burnley)
Pablo Maffeo,Mallorca,Spain,Defender,25,78,81,1,82.0,52.0,70.0,78.0,75.0,69.0,3,3,17000000.0,Pablo Maffeo (Mallorca)
M. Lopez,Fiorentina,France,Midfielder,25,78,81,1,71.0,71.0,79.0,82.0,67.0,57.0,3,4,18500000.0,M. Lopez (Fiorentina)
G. Castrovilli,Fiorentina,Italy,Midfielder,26,78,81,2,73.0,67.0,76.0,82.0,66.0,67.0,3,4,18000000.0,G. Castrovilli (Fiorentina)
Renato Sanches,Roma,Portugal,Midfielder,25,78,81,3,82.0,70.0,77.0,81.0,72.0,82.0,4,4,18500000.0,Renato Sanches (Roma)
I. Diop,Fulham,France,Defender,26,78,81,2,64.0,37.0,53.0,57.0,79.0,80.0,3,2,16500000.0,I. Diop (Fulham)
J. Karlsson,Bologna,Sweden,Midfielder,24,78,81,2,83.0,76.0,72.0,82.0,35.0,61.0,3,5,19000000.0,J. Karlsson (Bologna)
Caio Henrique,Monaco,Brazil,Defender,25,78,81,2,80.0,58.0,78.0,78.0,72.0,67.0,2,3,17000000.0,Caio Henrique (Monaco)
R. Doan,SC Freiburg,Japan,Midfielder,25,78,81,2,82.0,71.0,75.0,83.0,40.0,61.0,3,4,18500000.0,R. Doan (SC Freiburg)
Marcão,Sevilla,Brazil,Defender,27,78,81,1,63.0,36.0,60.0,70.0,78.0,85.0,3,2,16000000.0,Marcão (Sevilla)
S. Özcan,Borussia Dortmund,Turkey,Midfielder,25,78,81,2,75.0,62.0,71.0,76.0,76.0,81.0,3,3,17000000.0,S. Özcan (Borussia Dortmund)
S. Longstaff,Newcastle United,England,Midfielder,25,78,81,1,64.0,65.0,75.0,74.0,73.0,72.0,3,2,18500000.0,S. Longstaff (Newcastle United)
M. Pessina,Monza,Italy,Midfielder,26,78,81,2,72.0,70.0,77.0,79.0,71.0,72.0,2,3,18500000.0,M. Pessina (Monza)
M. Olivera,Napoli,Uruguay,Defender,25,78,81,1,75.0,50.0,69.0,73.0,77.0,77.0,3,3,17000000.0,M. Olivera (Napoli)
P. Rajković,Mallorca,Serbia,Goalkeeper,27,78,81,2,0.0,0.0,0.0,0.0,0.0,0.0,2,1,14000000.0,P. Rajković (Mallorca)
B. Mbeumo,Brentford,Cameroon,Forward,23,78,81,1,83.0,77.0,72.0,78.0,45.0,74.0,2,4,19000000.0,B. Mbeumo (Brentford)
Reguilón,Manchester United,Spain,Defender,26,78,81,1,82.0,57.0,74.0,77.0,75.0,70.0,3,3,17000000.0,Reguilón (Manchester United)
Y. Mvogo,Lorient,Switzerland,Goalkeeper,29,78,80,1,0.0,0.0,0.0,0.0,0.0,0.0,3,1,11500000.0,Y. Mvogo (Lorient)
B. Embolo,Monaco,Switzerland,Forward,26,78,80,2,81.0,77.0,70.0,75.0,51.0,83.0,4,3,17500000.0,B. Embolo (Monaco)
J. Andersen,Crystal Palace,Denmark,Defender,27,78,80,2,53.0,50.0,70.0,66.0,78.0,81.0,3,2,15000000.0,J. Andersen (Crystal Palace)
B. Henrichs,RB Leipzig,Germany,Defender,26,78,80,2,74.0,53.0,73.0,77.0,75.0,73.0,4,3,16000000.0,B. Henrichs (RB Leipzig)
D. Sow,Sevilla,Switzerland,Midfielder,26,78,80,2,79.0,69.0,75.0,77.0,75.0,78.0,4,3,17500000.0,D. Sow (Sevilla)
D. Doekhi,FC Union Berlin,Netherlands,Defender,25,78,80,1,64.0,42.0,59.0,65.0,78.0,82.0,3,2,15500000.0,D. Doekhi (FC Union Berlin)
T. Adams,AFC Bournemouth,United States,Midfielder,24,78,80,3,78.0,48.0,67.0,72.0,77.0,77.0,3,3,16500000.0,T. Adams (AFC Bournemouth)
N. Vlašić,Torino,Croatia,Forward,25,78,80,2,77.0,75.0,76.0,81.0,57.0,73.0,5,3,18000000.0,N. Vlašić (Torino)
Emerson Royal,Tottenham Hotspur,Brazil,Defender,24,78,80,2,72.0,62.0,71.0,73.0,75.0,77.0,3,3,17000000.0,Emerson Royal (Tottenham Hotspur)
A. Areola,West Ham United,France,Goalkeeper,30,78,79,2,0.0,0.0,0.0,0.0,0.0,0.0,3,1,10500000.0,A. Areola (West Ham United)
A. Webster,Brighton & Hove Albion,England,Defender,28,78,79,1,69.0,31.0,62.0,70.0,79.0,76.0,4,2,13500000.0,A. Webster (Brighton & Hove Albion)
S. Gigot,Olympique de Marseille,France,Defender,29,78,79,2,64.0,38.0,62.0,61.0,78.0,81.0,3,2,13000000.0,S. Gigot (Olympique de Marseille)
A. Sanabria,Torino,Paraguay,Forward,27,78,79,1,78.0,76.0,69.0,81.0,32.0,61.0,4,4,16500000.0,A. Sanabria (Torino)
R. Tapia,Celta de Vigo,Peru,Midfielder,27,78,79,1,68.0,66.0,71.0,69.0,79.0,84.0,4,3,14500000.0,R. Tapia (Celta de Vigo)
R. Henry,Brentford,England,Defender,25,78,79,1,89.0,41.0,62.0,75.0,74.0,72.0,2,3,15500000.0,R. Henry (Brentford)
Pedraza,Villarreal,Spain,Defender,27,78,79,1,80.0,72.0,72.0,75.0,74.0,75.0,2,3,15000000.0,Pedraza (Villarreal)
Arthur,Fiorentina,Brazil,Midfielder,26,78,79,2,65.0,65.0,79.0,84.0,71.0,66.0,3,4,16500000.0,Arthur (Fiorentina)
D. Lukébakio,Sevilla,Belgium,Midfielder,25,78,79,2,84.0,78.0,70.0,82.0,31.0,59.0,3,4,17000000.0,D. Lukébakio (Sevilla)
R. Orsolini,Bologna,Italy,Midfielder,26,78,79,2,79.0,75.0,74.0,82.0,39.0,65.0,4,4,16500000.0,R. Orsolini (Bologna)
M. Nzola,Fiorentina,Angola,Forward,26,78,79,1,89.0,75.0,60.0,75.0,29.0,82.0,4,3,17000000.0,M. Nzola (Fiorentina)
Vesga,Athletic Club,Spain,Midfielder,30,78,78,1,47.0,78.0,74.0,67.0,77.0,81.0,3,3,13500000.0,Vesga (Athletic Club)
Dante,Nice,Brazil,Defender,39,78,78,3,32.0,52.0,68.0,65.0,79.0,79.0,4,3,2500000.0,Dante (Nice)
Ó. Trejo,Rayo Vallecano,Argentina,Midfielder,35,78,78,2,67.0,76.0,78.0,82.0,70.0,76.0,4,3,6000000.0,Ó. Trejo (Rayo Vallecano)
E. Choupo-Moting,FC Bayern München,Cameroon,Forward,34,78,78,2,64.0,77.0,69.0,79.0,38.0,70.0,4,3,7000000.0,E. Choupo-Moting (FC Bayern München)
Guaita,Celta de Vigo,Spain,Goalkeeper,36,78,78,2,0.0,0.0,0.0,0.0,0.0,0.0,3,1,1600000.0,Guaita (Celta de Vigo)
M. Antonio,West Ham United,Jamaica,Forward,33,78,78,2,78.0,74.0,73.0,76.0,54.0,82.0,3,4,9000000.0,M. Antonio (West Ham United)
P. Groß,Brighton & Hove Albion,Germany,Midfielder,32,78,78,2,52.0,75.0,82.0,77.0,62.0,72.0,4,4,11000000.0,P. Groß (Brighton & Hove Albion)
S. El Shaarawy,Roma,Italy,Midfielder,30,78,78,3,86.0,75.0,75.0,79.0,49.0,63.0,3,4,13500000.0,S. El Shaarawy (Roma)
Alex Sandro,Juventus,Brazil,Defender,32,78,78,3,73.0,65.0,74.0,78.0,75.0,77.0,3,3,9500000.0,Alex Sandro (Juventus)
R. Pereyra,Udinese,Argentina,Midfielder,32,78,78,2,77.0,74.0,78.0,81.0,68.0,71.0,4,4,11000000.0,R. Pereyra (Udinese)
Aitor,Osasuna,Spain,Goalkeeper,32,78,78,1,0.0,0.0,0.0,0.0,0.0,0.0,2,1,7000000.0,Aitor (Osasuna)
Neto,AFC Bournemouth,Brazil,Goalkeeper,33,78,78,2,0.0,0.0,0.0,0.0,0.0,0.0,2,1,4600000.0,Neto (AFC Bournemouth)
F. Kainz,FC Köln,Austria,Midfielder,30,78,78,2,70.0,75.0,79.0,79.0,44.0,64.0,5,4,13500000.0,F. Kainz (FC Köln)
D. Lovren,Olympique Lyonnais,Croatia,Defender,33,78,78,3,55.0,40.0,60.0,62.0,79.0,78.0,4,2,6500000.0,D. Lovren (Olympique Lyonnais)
S. Aurier,Nottingham Forest,Côte d'Ivoire,Defender,30,78,78,2,69.0,62.0,74.0,74.0,76.0,74.0,3,3,12000000.0,S. Aurier (Nottingham Forest)
Dani Rodríguez,Mallorca,Spain,Midfielder,35,78,78,1,84.0,75.0,76.0,74.0,63.0,69.0,3,3,6000000.0,Dani Rodríguez (Mallorca)
Pablo Sarabia,Wolverhampton Wanderers,Spain,Midfielder,31,78,78,2,69.0,73.0,80.0,80.0,57.0,60.0,4,4,11500000.0,Pablo Sarabia (Wolverhampton Wanderers)
A. Marchesín,Celta de Vigo,Argentina,Goalkeeper,35,78,78,1,0.0,0.0,0.0,0.0,0.0,0.0,3,1,1600000.0,A. Marchesín (Celta de Vigo)
Ismaily,Lille,Brazil,Defender,33,78,78,2,80.0,64.0,73.0,78.0,73.0,75.0,2,4,7500000.0,Ismaily (Lille)
Gabriel Paulista,Valencia,Brazil,Defender,32,78,78,2,65.0,49.0,66.0,62.0,79.0,79.0,2,2,9000000.0,Gabriel Paulista (Valencia)
R. Freuler,Bologna,Switzerland,Midfielder,31,78,78,2,64.0,69.0,73.0,76.0,74.0,73.0,3,4,10000000.0,R. Freuler (Bologna)
Héctor Bellerín,Real Betis,Spain,Defender,28,78,78,3,81.0,51.0,70.0,76.0,74.0,64.0,2,3,12500000.0,Héctor Bellerín (Real Betis)
P. Gazzaniga,Girona,Argentina,Goalkeeper,31,78,78,1,0.0,0.0,0.0,0.0,0.0,0.0,3,1,7500000.0,P. Gazzaniga (Girona)
Fernando,Almería,Spain,Goalkeeper,33,78,78,1,0.0,0.0,0.0,0.0,0.0,0.0,2,1,4600000.0,Fernando (Almería)
J. Ward-Prowse,West Ham United,England,Midfielder,28,78,78,2,57.0,72.0,85.0,74.0,64.0,71.0,3,3,14000000.0,J. Ward-Prowse (West Ham United)
T. Stepanenko,Shakhtar Donetsk,Ukraine,Midfielder,33,78,78,1,65.0,62.0,71.0,68.0,76.0,79.0,3,3,7000000.0,T. Stepanenko (Shakhtar Donetsk)
Felipe,Nottingham Forest,Brazil,Defender,34,78,78,3,52.0,44.0,56.0,58.0,78.0,81.0,3,2,4600000.0,Felipe (Nottingham Forest)
S. Kolašinac,Atalanta,Bosnia and Herzegovina,Defender,30,78,78,2,69.0,63.0,67.0,68.0,76.0,84.0,2,2,11500000.0,S. Kolašinac (Atalanta)
J. Veltman,Brighton & Hove Albion,Netherlands,Defender,31,78,78,2,61.0,49.0,68.0,71.0,80.0,74.0,4,2,10000000.0,J. Veltman (Brighton & Hove Albion)
A. Belotti,Roma,Italy,Forward,29,78,78,3,73.0,76.0,58.0,76.0,38.0,82.0,5,3,14000000.0,A. Belotti (Roma)
A. Thomasson,Lens,France,Forward,29,78,78,2,69.0,74.0,78.0,80.0,65.0,70.0,4,4,14000000.0,A. Thomasson (Lens)
Rubén García,Osasuna,Spain,Midfielder,29,78,78,2,76.0,76.0,79.0,78.0,45.0,52.0,2,4,14000000.0,Rubén García (Osasuna)
P. Max,Eintracht Frankfurt,Germany,Defender,29,78,78,2,77.0,65.0,77.0,75.0,70.0,74.0,3,3,12500000.0,P. Max (Eintracht Frankfurt)
M. Lemina,Wolverhampton Wanderers,Gabon,Midfielder,29,78,78,2,68.0,67.0,75.0,75.0,75.0,77.0,4,3,12000000.0,M. Lemina (Wolverhampton Wanderers)
S. Azmoun,Roma,Iran,Forward,28,78,78,2,79.0,75.0,71.0,78.0,40.0,73.0,4,3,14500000.0,S. Azmoun (Roma)
G. Simeone,Napoli,Argentina,Forward,27,78,78,2,75.0,79.0,64.0,75.0,41.0,75.0,4,3,15000000.0,G. Simeone (Napoli)
M. Dahoud,Brighton & Hove Albion,Germany,Midfielder,27,78,78,2,67.0,68.0,77.0,83.0,66.0,68.0,4,4,15000000.0,M. Dahoud (Brighton & Hove Albion)
H. Hateboer,Atalanta,Netherlands,Defender,29,78,78,3,79.0,64.0,72.0,77.0,74.0,76.0,3,3,12500000.0,H. Hateboer (Atalanta)
Munir,Las Palmas,Morocco,Midfielder,27,78,78,1,75.0,78.0,77.0,80.0,35.0,62.0,3,4,15000000.0,Munir (Las Palmas)
M. Dúbravka,Newcastle United,Slovakia,Goalkeeper,34,78,78,2,0.0,0.0,0.0,0.0,0.0,0.0,2,1,2400000.0,M. Dúbravka (Newcastle United)
S. Benrahma,West Ham United,Algeria,Midfielder,27,78,78,2,74.0,75.0,75.0,82.0,40.0,57.0,4,4,15000000.0,S. Benrahma (West Ham United)
N. Keïta,Werder Bremen,Guinea,Midfielder,28,78,78,3,69.0,72.0,75.0,84.0,69.0,67.0,4,4,14000000.0,N. Keïta (Werder Bremen)
J. Gradit,Lens,France,Defender,30,78,78,1,71.0,29.0,63.0,69.0,78.0,79.0,2,2,11500000.0,J. Gradit (Lens)
Lee Jae Sung,FSV Mainz 05,Korea Republic,Midfielder,30,78,78,2,65.0,71.0,75.0,82.0,59.0,62.0,3,3,13500000.0,Lee Jae Sung (FSV Mainz 05)
R. Karsdorp,Roma,Netherlands,Midfielder,28,78,78,2,80.0,63.0,75.0,78.0,76.0,79.0,3,3,14000000.0,R. Karsdorp (Roma)
S. Becker,FC Union Berlin,Suriname,Forward,28,78,78,2,94.0,76.0,70.0,79.0,35.0,69.0,2,3,14500000.0,S. Becker (FC Union Berlin)
M. Wolf,Borussia Dortmund,Germany,Defender,28,78,78,2,81.0,71.0,73.0,75.0,72.0,79.0,4,3,12500000.0,M. Wolf (Borussia Dortmund)
Nélson Semedo,Wolverhampton Wanderers,Portugal,Defender,29,78,78,2,83.0,57.0,69.0,79.0,74.0,74.0,3,4,12500000.0,Nélson Semedo (Wolverhampton Wanderers)
R. Krunić,Milan,Bosnia and Herzegovina,Midfielder,29,78,78,1,67.0,72.0,77.0,78.0,74.0,73.0,3,3,13500000.0,R. Krunić (Milan)
S. Sensi,Inter,Italy,Midfielder,27,78,78,1,73.0,62.0,83.0,82.0,65.0,57.0,4,4,15000000.0,S. Sensi (Inter)
Gerson Armão,Internacional,Brazil,Defender,23,78,78,1,79.0,67.0,71.0,71.0,74.0,79.0,5,3,15000000.0,Gerson Armão (Internacional)
Wellington Sabrão,Flamengo,Brazil,Defender,35,78,78,1,92.0,56.0,68.0,73.0,72.0,70.0,3,2,4300000.0,Wellington Sabrão (Flamengo)
Zervandro,Internacional,Brazil,Defender,23,78,78,1,68.0,48.0,60.0,54.0,79.0,74.0,3,2,14000000.0,Zervandro (Internacional)
Pedrão Tofico,Flamengo,Brazil,Defender,27,78,78,1,58.0,29.0,63.0,58.0,77.0,85.0,3,2,13000000.0,Pedrão Tofico (Flamengo)
Hediselton,Bragantino,Brazil,Defender,23,78,78,1,78.0,71.0,71.0,76.0,74.0,74.0,3,4,15000000.0,Hediselton (Bragantino)
Vieirundinho,Santos,Brazil,Defender,35,78,78,1,59.0,39.0,53.0,57.0,80.0,82.0,2,2,3700000.0,Vieirundinho (Santos)
Albertinho Dutra,São Paulo,Brazil,Forward,31,78,78,1,81.0,72.0,81.0,80.0,23.0,50.0,3,4,11500000.0,Albertinho Dutra (São Paulo)
Guilson Paiva,Flamengo,Brazil,Midfielder,27,78,78,1,83.0,69.0,75.0,78.0,42.0,69.0,4,3,15000000.0,Guilson Paiva (Flamengo)
Arturo Inálcio,Flamengo,Brazil,Midfielder,23,78,78,1,83.0,72.0,75.0,78.0,52.0,48.0,3,2,16000000.0,Arturo Inálcio (Flamengo)
Fredditinho,Palmeiras,Brazil,Forward,35,78,78,1,73.0,80.0,63.0,74.0,39.0,77.0,1,2,6000000.0,Fredditinho (Palmeiras)
Jason Bardeira,Corinthians,Brazil,Forward,23,78,78,1,73.0,82.0,62.0,70.0,31.0,75.0,3,2,16500000.0,Jason Bardeira (Corinthians)
Jonatão Praz,Flamengo,Brazil,Forward,23,78,78,1,78.0,69.0,77.0,79.0,45.0,54.0,4,4,16000000.0,Jonatão Praz (Flamengo)
R. Malinovskyi,Genoa,Ukraine,Forward,30,78,78,3,74.0,79.0,80.0,78.0,64.0,80.0,4,4,14000000.0,R. Malinovskyi (Genoa)
J. Ito,Stade de Reims,Japan,Midfielder,30,78,78,2,88.0,70.0,73.0,78.0,58.0,68.0,4,4,13500000.0,J. Ito (Stade de Reims)
A. Barák,Fiorentina,Czech Republic,Midfielder,28,78,78,1,73.0,77.0,79.0,80.0,65.0,75.0,3,4,14000000.0,A. Barák (Fiorentina)
N. Maksimović,Getafe,Serbia,Midfielder,28,78,78,1,47.0,72.0,74.0,73.0,77.0,76.0,3,3,14000000.0,N. Maksimović (Getafe)
Junior Messias,Genoa,Brazil,Midfielder,32,78,78,1,82.0,73.0,73.0,81.0,49.0,60.0,3,3,11000000.0,Junior Messias (Genoa)
Luis Milla,Getafe,Spain,Midfielder,28,78,78,2,68.0,72.0,77.0,74.0,75.0,73.0,3,3,14000000.0,Luis Milla (Getafe)
V. Coufal,West Ham United,Czech Republic,Defender,30,78,78,2,65.0,56.0,72.0,73.0,77.0,80.0,3,3,12000000.0,V. Coufal (West Ham United)
A. Espino,Rayo Vallecano,Uruguay,Defender,31,78,78,2,87.0,63.0,68.0,73.0,75.0,82.0,3,3,10000000.0,A. Espino (Rayo Vallecano)
M. Uzuni,Granada,Albania,Forward,28,78,78,1,82.0,79.0,70.0,81.0,32.0,65.0,3,4,14500000.0,M. Uzuni (Granada)
A. Güler,Real Madrid,Turkey,Midfielder,18,77,88,1,72.0,70.0,80.0,81.0,52.0,50.0,3,4,22000000.0,A. Güler (Real Madrid)
Y. Moukoko,Borussia Dortmund,Germany,Forward,18,77,87,2,80.0,75.0,59.0,80.0,34.0,65.0,4,4,22500000.0,Y. Moukoko (Borussia Dortmund)
F. Parisi,Fiorentina,Italy,Defender,22,77,87,1,80.0,67.0,70.0,77.0,72.0,75.0,3,2,22500000.0,F. Parisi (Fiorentina)
N. Fagioli,Juventus,Italy,Midfielder,22,77,87,1,76.0,63.0,78.0,79.0,70.0,70.0,4,4,23500000.0,N. Fagioli (Juventus)
T. Baldanzi,Empoli,Italy,Midfielder,20,77,87,1,78.0,73.0,73.0,79.0,41.0,50.0,3,3,23000000.0,T. Baldanzi (Empoli)
A. Buongiorno,Torino,Italy,Defender,24,77,86,1,66.0,45.0,69.0,64.0,79.0,74.0,3,2,22000000.0,A. Buongiorno (Torino)
N. Rovella,Lazio,Italy,Midfielder,21,77,86,1,77.0,63.0,76.0,77.0,74.0,71.0,4,3,23500000.0,N. Rovella (Lazio)
D. Udogie,Tottenham Hotspur,Italy,Defender,20,77,86,1,88.0,63.0,68.0,76.0,70.0,77.0,3,3,22000000.0,D. Udogie (Tottenham Hotspur)
H. Elliott,Liverpool,England,Midfielder,20,77,85,1,75.0,64.0,75.0,81.0,46.0,52.0,4,4,23000000.0,H. Elliott (Liverpool)
J. Doku,Manchester City,Belgium,Midfielder,21,77,85,3,91.0,67.0,68.0,82.0,25.0,65.0,3,4,23500000.0,J. Doku (Manchester City)
A. Hložek,Bayer 04 Leverkusen,Czech Republic,Forward,20,77,85,1,76.0,77.0,73.0,77.0,31.0,79.0,4,3,23500000.0,A. Hložek (Bayer 04 Leverkusen)
K. Koné,Borussia Mönchengladbach,France,Midfielder,22,77,85,2,73.0,70.0,74.0,82.0,69.0,75.0,3,4,23500000.0,K. Koné (Borussia Mönchengladbach)
Riquelme,Atlético Madrid,Spain,Midfielder,23,77,85,1,78.0,75.0,74.0,80.0,38.0,50.0,3,3,23500000.0,Riquelme (Atlético Madrid)
N. Madueke,Chelsea,England,Forward,21,77,85,1,90.0,71.0,68.0,82.0,35.0,62.0,4,4,23500000.0,N. Madueke (Chelsea)
M. Thiaw,Milan,Germany,Defender,21,77,85,1,74.0,47.0,61.0,65.0,77.0,75.0,4,2,22000000.0,M. Thiaw (Milan)
Rodri,Real Betis,Spain,Midfielder,23,77,85,1,74.0,73.0,75.0,79.0,38.0,53.0,4,3,23500000.0,Rodri (Real Betis)
C. Lukeba,RB Leipzig,France,Defender,20,77,85,2,78.0,43.0,67.0,71.0,78.0,76.0,2,2,21500000.0,C. Lukeba (RB Leipzig)
